word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
apple,ˈæpəl,,苹果,n.,5,1,,2446,2541,,,
book,bʊk,,书；书籍,n.,5,1,,529,598,,,
china,ˈtʃaɪnə,,中国,n.,5,1,,1000,1000,,,
chinese,ˌtʃaɪˈniːz,,中文；中国人；中国的,n./adj.,5,1,,1000,1000,,,
computer,kəmˈpjuːtə(r),,计算机；电脑,n.,5,1,,2054,1648,,,
good,ɡʊd,,好的；优秀的,adj.,5,1,,132,126,,,
good morning,ɡʊd ˈmɔːnɪŋ,,早上好,phrase,5,1,,1000,1000,,,
good night,ɡʊd naɪt,,晚安,phrase,5,1,,1000,1000,,,
hello,həˈləʊ,,你好；您好,interj.,5,1,,4122,2455,,,
how are you,,,你好吗；最近怎么样,phrase,5,1,,1000,1000,,,
language,ˈlæŋɡwɪdʒ,,语言,n.,5,1,,903,704,,,
local,ˈləʊkəl,,本地的；当地的,adj.,5,1,,763,641,,,
please,pliːz,,请；请问,adv./v.,5,1,,655,593,,,
power toys,,,PowerToys；微软实用工具集,proper noun,3,1,,1000,1000,,,
thank you,,,谢谢你；谢谢,phrase,5,1,,1000,1000,,,
translate,trænzˈleɪt,,翻译；转化,v.,4,1,,4211,3087,,,
translation,trænzˈleɪʃn,,翻译；译文,n.,4,1,,3441,2501,,,
who am i,,,我是谁,phrase,5,1,,1000,1000,,,
who are you,,,你是谁,phrase,5,1,,1000,1000,,,
world,wɜːld,,世界,n.,5,1,,189,146,,,
